token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
7867,643RJ27-SG,643RJ27,,-1.000000,100,,NSE,1.000000
7851,RAMCOSYS-EQ,RAMCOSYS,,-1.000000,1,,NSE,5.000000
7870,724BR32-SG,724BR32,,-1.000000,100,,NSE,1.000000
7872,735KA36-SG,735KA36,,-1.000000,100,,NSE,1.000000
7874,734TS34-SG,734TS34,,-1.000000,100,,NSE,1.000000
7899,724RJ32-SG,724RJ32,,-1.000000,100,,NSE,1.000000
7904,724TN32-SG,724TN32,,-1.000000,100,,NSE,1.000000
7919,BYKE-EQ,BYKE,,-1.000000,1,,NSE,1.000000
7986,1060ECL29-NS,1060ECL29,,-1.000000,1,,NSE,1.000000
8006,732KA34-SG,732KA34,,-1.000000,100,,NSE,1.000000
8012,721KA32-SG,721KA32,,-1.000000,100,,NSE,1.000000
8120,744KA35-SG,744KA35,,-1.000000,100,,NSE,1.000000
8124,AJANTPHARM-EQ,AJANTPHARM,,-1.000000,1,,NSE,10.000000
8193,713AP40-SG,713AP40,,-1.000000,100,,NSE,1.000000
8329,717KL32-SG,717KL32,,-1.000000,100,,NSE,1.000000
8332,717WB32-SG,717WB32,,-1.000000,100,,NSE,1.000000
8331,717RJ32-SG,717RJ32,,-1.000000,100,,NSE,1.000000
834,SGBOC28VII-GB,SGBOC28VII,,-1.000000,1,,NSE,1.000000
836,575PY26-SG,575PY26,,-1.000000,100,,NSE,1.000000
843,64KA30B-SG,64KA30B,,-1.000000,100,,NSE,1.000000
8335,713AP39-SG,713AP39,,-1.000000,100,,NSE,1.000000
8498,735JH38-SG,735JH38,,-1.000000,100,,NSE,1.000000
8570,713TN30-SG,713TN30,,-1.000000,100,,NSE,1.000000
8596,MSUMI-EQ,MSUMI,,-1.000000,1,,NSE,1.000000
867,672HR35-SG,672HR35,,-1.000000,100,,NSE,1.000000
8645,SFMP61DD-MF,SFMP61DD,,-1.000000,1,,NSE,1.000000
8647,SFMP61DR-MF,SFMP61DR,,-1.000000,1,,NSE,1.000000
8684,729RJ32-SG,729RJ32,,-1.000000,100,,NSE,1.000000
8688,733AS32-SG,733AS32,,-1.000000,100,,NSE,1.000000
8699,735SK32-SG,735SK32,,-1.000000,100,,NSE,1.000000
8719,739TN42-SG,739TN42,,-1.000000,100,,NSE,1.000000
8733,S&SPOWER-BE,S&SPOWER,,-1.000000,1,,NSE,5.000000
8770,H1876D46DD-MF,H1876D46DD,,-1.000000,1,,NSE,1.000000
8940,E2E-BE,E2E,,-1.000000,1,,NSE,10.000000
8998,UMIYA-MRO-EQ,UMIYA-MRO,,-1.000000,1,,NSE,1.000000
9428,SKIPPER-EQ,SKIPPER,,-1.000000,1,,NSE,5.000000
9438,776AP32-SG,776AP32,,-1.000000,100,,NSE,1.000000
9522,SFMP1GR-MF,SFMP1GR,,-1.000000,1,,NSE,1.000000
967,SUBEXLTD-EQ,SUBEXLTD,,-1.000000,1,,NSE,1.000000
9592,VENUSPIPES-EQ,VENUSPIPES,,-1.000000,1,,NSE,10.000000
9717,772JK32-SG,772JK32,,-1.000000,100,,NSE,1.000000
9785,79AP33-SG,79AP33,,-1.000000,100,,NSE,1.000000
9788,785KL34-SG,785KL34,,-1.000000,100,,NSE,1.000000
9862,WEWIN-EQ,WEWIN,,-1.000000,1,,NSE,1.000000
9867,NEXTMEDIA-EQ,NEXTMEDIA,,-1.000000,1,,NSE,1.000000
9872,804AP42-SG,804AP42,,-1.000000,100,,NSE,1.000000
9874,GOLDTECH-EQ,GOLDTECH,,-1.000000,1,,NSE,1.000000
9914,78AP31A-SG,78AP31A,,-1.000000,100,,NSE,1.000000
9923,788NL32-SG,788NL32,,-1.000000,100,,NSE,1.000000
997,659UP30-SG,659UP30,,-1.000000,100,,NSE,1.000000
10005,DSPQ50INAV-EQ,DSPQ50INAV,,-1.000000,1,,NSE,1.000000
1001,94SFL28-YL,94SFL28,,-1.000000,1,,NSE,1.000000
1008,FACT-EQ,FACT,,-1.000000,1,,NSE,5.000000
10051,SFMP6DD-MF,SFMP6DD,,-1.000000,1,,NSE,1.000000
10060,SFMP6GR-MF,SFMP6GR,,-1.000000,1,,NSE,1.000000
10098,LICN50INAV-EQ,LICN50INAV,,-1.000000,1,,NSE,1.000000
10130,MON100INAV-EQ,MON100INAV,,-1.000000,1,,NSE,1.000000
10161,SETF50INAV-EQ,SETF50INAV,,-1.000000,1,,NSE,1.000000
10188,SHYAMCENT-EQ,SHYAMCENT,,-1.000000,1,,NSE,1.000000
10201,ICICM58-M1,ICICM58,,-1.000000,1,,NSE,1.000000
10205,794HR34-SG,794HR34,,-1.000000,100,,NSE,1.000000
10207,793TS35-SG,793TS35,,-1.000000,100,,NSE,1.000000
10247,782HP32-SG,782HP32,,-1.000000,100,,NSE,1.000000
10343,RADHIKAJWE-EQ,RADHIKAJWE,,-1.000000,1,,NSE,1.000000
10355,803AP36-SG,803AP36,,-1.000000,100,,NSE,1.000000
104,SHAREINDIA-EQ,SHAREINDIA,,-1.000000,1,,NSE,1.000000
10367,78GJ32A-SG,78GJ32A,,-1.000000,100,,NSE,1.000000
10384,802WB37-SG,802WB37,,-1.000000,100,,NSE,1.000000
10406,STEELCITY-EQ,STEELCITY,,-1.000000,1,,NSE,1.000000
1044,AXISBNKETF-EQ,AXISBNKETF,,-1.000000,1,,NSE,1.000000
10417,DYCL-EQ,DYCL,,-1.000000,1,,NSE,5.000000
10453,SATIN-EQ,SATIN,,-1.000000,1,,NSE,1.000000
10454,797WB42-SG,797WB42,,-1.000000,100,,NSE,1.000000
1053,UFLEX-EQ,UFLEX,,-1.000000,1,,NSE,5.000000
10545,784TS36-SG,784TS36,,-1.000000,100,,NSE,1.000000
10557,NAVKARCORP-EQ,NAVKARCORP,,-1.000000,1,,NSE,1.000000
10640,795HR37-SG,795HR37,,-1.000000,100,,NSE,1.000000
10648,773GJ32-SG,773GJ32,,-1.000000,100,,NSE,1.000000
1073,FOSECOIND-EQ,FOSECOIND,,-1.000000,1,,NSE,50.000000
10684,SHAIVAL-ST,SHAIVAL,,-1.000000,3600,,NSE,5.000000
10723,INFRAIETF-EQ,INFRAIETF,,-1.000000,1,,NSE,1.000000
10768,OAL-EQ,OAL,,-1.000000,1,,NSE,5.000000
10793,SYRMA-EQ,SYRMA,,-1.000000,1,,NSE,5.000000
10838,HDFC1406DD-MF,HDFC1406DD,,-1.000000,1,,NSE,1.000000
10853,761HR32-SG,761HR32,,-1.000000,100,,NSE,1.000000
10855,753HR30-SG,753HR30,,-1.000000,100,,NSE,1.000000
10922,OMAXAUTO-EQ,OMAXAUTO,,-1.000000,1,,NSE,1.000000
10945,TMB-EQ,TMB,,-1.000000,1,,NSE,5.000000
1100,GARFIBRES-EQ,GARFIBRES,,-1.000000,1,,NSE,5.000000
10963,745AP42-SG,745AP42,,-1.000000,100,,NSE,1.000000
10964,746TS48-SG,746TS48,,-1.000000,100,,NSE,1.000000
11159,756WB39-SG,756WB39,,-1.000000,100,,NSE,1.000000
11162,HARSHA-EQ,HARSHA,,-1.000000,1,,NSE,5.000000
11184,IDFCFIRSTB-EQ,IDFCFIRSTB,,-1.000000,1,,NSE,1.000000
11192,SGBAUG30-GB,SGBAUG30,,-1.000000,1,,NSE,1.000000
11218,MAKS-SM,MAKS,,-1.000000,1500,,NSE,5.000000
11295,772WB38-SG,772WB38,,-1.000000,100,,NSE,1.000000
11299,76AP28-SG,76AP28,,-1.000000,100,,NSE,1.000000
11343,AFFLE-EQ,AFFLE,,-1.000000,1,,NSE,10.000000
11351,PETRONET-EQ,PETRONET,,-1.000000,1,,NSE,5.000000
11355,PTC-EQ,PTC,,-1.000000,1,,NSE,1.000000
11401,778MZ32-SG,778MZ32,,-1.000000,100,,NSE,1.000000
11407,XPROINDIA-EQ,XPROINDIA,,-1.000000,1,,NSE,5.000000
11409,784TS34-SG,784TS34,,-1.000000,100,,NSE,1.000000
11415,783TS36-SG,783TS36,,-1.000000,100,,NSE,1.000000
11457,NV20-EQ,NV20,,-1.000000,1,,NSE,1.000000
11511,CENTEXT-EQ,CENTEXT,,-1.000000,1,,NSE,1.000000
11538,HDFCMOMENT-EQ,HDFCMOMENT,,-1.000000,1,,NSE,1.000000
11559,HDFC1359DD-MF,HDFC1359DD,,-1.000000,1,,NSE,1.000000
11612,PHANTOMFX-SM,PHANTOMFX,,-1.000000,300,,NSE,5.000000
11637,SALSTEEL-BE,SALSTEEL,,-1.000000,1,,NSE,1.000000
11669,79NHIT47-N3,79NHIT47,,-1.000000,1,,NSE,1.000000
11697,791UP37-SG,791UP37,,-1.000000,100,,NSE,1.000000
11704,783TN42-SG,783TN42,,-1.000000,100,,NSE,1.000000
11705,XCHANGING-EQ,XCHANGING,,-1.000000,1,,NSE,1.000000
11732,CONSOFINVT-BE,CONSOFINVT,,-1.000000,1,,NSE,1.000000
1190,FMGOETZE-EQ,FMGOETZE,,-1.000000,1,,NSE,5.000000
11759,786AP33-SG,786AP33,,-1.000000,100,,NSE,1.000000
11868,63MOONS-EQ,63MOONS,,-1.000000,1,,NSE,5.000000
11975,RML-EQ,RML,,-1.000000,1,,NSE,5.000000
1200,ESG-EQ,ESG,,-1.000000,1,,NSE,1.000000
12009,IMPAL-EQ,IMPAL,,-1.000000,1,,NSE,10.000000
12048,UTIRAP35P1-MF,UTIRAP35P1,,-1.000000,1,,NSE,1.000000
12219,RUSTOMJEE-EQ,RUSTOMJEE,,-1.000000,1,,NSE,5.000000
12295,768HR31-SG,768HR31,,-1.000000,100,,NSE,1.000000
12300,77BR32-SG,77BR32,,-1.000000,100,,NSE,1.000000
1233,65GJ30A-SG,65GJ30A,,-1.000000,100,,NSE,1.000000
12465,10CAGL27-N5,10CAGL27,,-1.000000,1,,NSE,1.000000
1007,679PN35-SG,679PN35,,-1.000000,100,,NSE,1.000000
1012,676MP40-SG,676MP40,,-1.000000,100,,NSE,1.000000
10134,MID150INAV-EQ,MID150INAV,,-1.000000,1,,NSE,1.000000
10159,ORICONENT-EQ,ORICONENT,,-1.000000,1,,NSE,1.000000
10213,796WB37-SG,796WB37,,-1.000000,100,,NSE,1.000000
10216,795AP40-SG,795AP40,,-1.000000,100,,NSE,1.000000
1030,AARON-EQ,AARON,,-1.000000,1,,NSE,1.000000
10233,765GJ29-SG,765GJ29,,-1.000000,100,,NSE,1.000000
10235,776HP30-SG,776HP30,,-1.000000,100,,NSE,1.000000
10246,782AS32-SG,782AS32,,-1.000000,100,,NSE,1.000000
10310,AURUM-EQ,AURUM,,-1.000000,1,,NSE,1.000000
10336,797AP39-SG,797AP39,,-1.000000,100,,NSE,1.000000
1038,FINCABLES-EQ,FINCABLES,,-1.000000,1,,NSE,5.000000
1041,FINPIPE-EQ,FINPIPE,,-1.000000,1,,NSE,1.000000
10382,795TS35-SG,795TS35,,-1.000000,100,,NSE,1.000000
10394,785PN32-SG,785PN32,,-1.000000,100,,NSE,1.000000
